"ID","Name of the vaccine","Microbe","Disease name","Name of bacteria","Type of vaccine","Nucleic acid content","Age","Description of the vaccine","Name of the manufacturer","Name of the manufacturing country","Year of manufacture","Clinical Phase status","Bacterial strain","Efficacy","Vaccine formulation","Dosage","Mechanism of action","Route of administration","Indications","Export","Approval","Adjuvant","Repurposing","Side effects of vaccine","Post vaccination","Dose type","Interspecies transfer","PubMed identifier","Clinical trial number","Reference","Other Name","Additional Links"
"1056","Pentaxim","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","From 2 months","Adsorbed diphtheria, tetanus, pertussis (acellular component), inactivated poliomyelitis and Haemophilus influenzae type b conjugate vaccine.","Sanofi Pasteur Ltd","Thailand","1997","Approved","Gram-negative coccobacillus.","The seroconversion rate was 83.9–100% for pertussis antigens (anti-PT and anti-FHA).","Powder and suspension","Two injections at 2 and 4 months of age and a booster at the age of 11 months OR three injections, gap of 1 to 2 months and booster within the second year of life.","NA","Intramuscular","Immunization against diphtheria, tetanus, acellular pertussis, inactivated poliomyelitis and Hib.","Marketing Authorisation Holder: Sanofi Pasteur SA, France","European Union Pharmacopoeia","Aluminium hydroxide ","For diphtheria, tetanus, acellular pertussis, inactivated poliomyelitis and Hib.","Injection site redness, swelling, pain, fever, vomiting, irritability, abnormal crying, nervousness, loss of appetite, somnolence.","NA","Combination doses","NA","21749196","NA","https://www.fda.moph.go.th/sites/drug/Shared%20Documents/Vaccine/U1DR2C1062470002211C-SPC.pdf","DTaP-IPV//PRP-T, Pentavac (in Western Europe)","NA"
"1057","Pediacel","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","Over 6 weeks","Diphtheria, tetanus toxoids, acellular pertussis vaccine adsorbed combined with inactivated poliomyelitis vaccine and haemophilus b conjugate vaccine \n(Tetanus protein conjugate).","Sanofi Pasteur Limited","Canada","2004","Approved","Gram-negative coccobacillus.","Seroconversion/seroresponse rates against PT, FHA, and PRN antigens were 91.3%, 78.7%, and 83.0–97.8%.","White to off-white suspension for injection","Primary vaccination: Two or three dose series, gap of at least 1 month.\nBooster vaccination: Single dose, 6 months after the last dose.","Not clearly defined.","Intramuscular","Immunization against diphtheria, tetanus, pertussis, poliomyelitis and Haemophilus influenzae type b disease.","EU marketing authorisation","NA","Aluminium phosphate","For diphtheria, tetanus, pertussis, poliomyelitis and Hib.","Redness, swelling or tenderness, irritability, less activity, vomiting, unusual high-pitched crying, fever, appetite loss, diarrhoea.","NA","Combination doses","NA","21999652","NA","NA","NA","https://pdf.hres.ca/dpd_pm/00015723.PDF"
"1058","Tripacel","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","2 months to 6 years","Diphtheria, tetanus toxoids and acellular pertussis vaccine adsorbed.","Sanofi Pasteur Limited","Canada","1998","Approved","Gram-negative coccobacillus.","Absolute vaccine efficacy of 85% against pertussis disease.","White to off-white suspension for injection","Four dose series with 3 doses at gap of 2 months, followed by a booster dose 6 to 12 months after the third dose.","Contains five pertussis antigens which are related to protection against pertussis.","Intramuscular","Immunization against diphtheria, tetanus and pertussis.","Marketing Authorisation Holder: Sanofi Pasteur Ltd, Bangkok, Thailand","Thailand FDA","Aluminium phosphate","Also for diphtheria and tetanus.","Drowsiness, injection site tenderness, swelling, redness, fever, irritability, decreased feeding.","NA","Combination doses","NA","NA","NA","https://www.fda.moph.go.th/sites/drug/Summary/2C_18_41_N.pdf","DTaP","http://www.guildlink.com.au/gc/ws/sw/pi.cfm?product=swptripa20320"
"1059","Tetravac or Tetravac Acellulaire","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","2 to 24 months","Diphtheria, tetanus, pertussis (acellular, component) and poliomyelitis (inactivated) vaccine, adsorbed."," Sanofi Pasteur","France","NA","Approved","Gram-negative coccobacillus.","NA"," Suspension for injection","Schedule 1: Three primary doses and one booster.\nSchedule 2: Three primary doses with no booster.","NA","Intramuscular","NA","Marketing Authorisation Holder : Sanofi Pasteur Europe","Member States of the EEA","Aluminium hydroxide","For tetanus, diphtheria and poliomyelitis.","Loss of appetite, irritability, abnormal crying, drowsiness, headache, vomiting, myalgia, redness, pain, swelling, fever and malaise.","NA","Combination (3 or 4 doses)","NA","NA","NA","https://www.drugs.com/uk/tetravac-suspension-for-injection-leaflet.html","NA","NA"
"1060","Boostrix Polio","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","From 4 years","Combined diphtheria, tetanus, acellular pertussis and enhanced inactivated polio vaccine. ","GlaxoSmithKline Biologicals","Belgium","2007","Approved","Gram-negative coccobacillus.","NA","Suspension for injection","Single dose of 0.5 mL.","NA","Intramuscular","Booster vaccination against diphtheria, tetanus, pertussis and poliomyelitis.","Marketing Authorisation Holder : GlaxoSmithKline (Thailand) Ltd. ","Thailand FDA","Aluminium hydroxide and aluminium phosphate","For tetanus, diphtheria and inactivated poliovirus.","Somnolence, injection site reactions, headache, malaise and fatigue.","NA","Single dose","NA","NA","NA","https://www.fda.moph.go.th/sites/drug/Summary/2C_14_50_NB_BOOSTRIX%20POLIO.pdf","NA","NA"
"1061","REPEVAX","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","From 3 years","Diphtheria, tetanus, pertussis (acellular, component) and poliomyelitis (inactivated) vaccine.","Sanofi Pasteur","United Kingdom","2002","Approved","Gram-negative coccobacillus.","NA","Suspension for injection","Single dose of 0.5 mL.","NA","Intramuscular","Immunization against diphtheria, tetanus, pertussis and poliomyelitis.","Marketing authorisation holder : Sanofi Pasteur Europe","European Medicine Agency","Aluminium phosphate","For tetanus, diphtheria and poliomyelitis.","Pain, redness, swelling, headache, diarrhoea, nausea, myalgia, fever, chills, ","NA","Single dose","NA","NA","NA","https://www.medicines.org.uk/emc/medicine/15256#gref","NA","NA"
"1062","Adacel Polio","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","4 years and older","Tetanus toxoid, reduced diphtheria toxoid and acellular pertussis vaccine adsorbed combined with inactivated poliomyelitis vaccine. ","Sanofi Pasteur Limited","Canada","2013","Approved","Gram-negative coccobacillus.","Protective efficacy of 85.2% using the WHO case definition and efficacy against mild disease was 77.9%.","Suspension for injection","Single dose of 0.5 mL.","Not well understood.","Intramuscular","Immunization against tetanus, diphtheria, pertussis and poliomyelitis.","NA","NA","Aluminium phosphate","For tetanus, diphtheria and poliomyelitis.","Redness, swelling, pain, tired, headache, generalized body ache and sore or swollen joints.","NA","Single dose","NA","NA","NA","https://pdf.hres.ca/dpd_pm/00021710.PDF","NA","https://www.toronto.ca/community-people/health-wellness-care/diseases-medications-vaccines/diphtheria-tetanus-pertussis-and-polio-vaccines/"
"1063","Tripedia","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Toxoid","DNA","6 weeks to 7 years","Diphtheria and tetanus toxoids and acellular pertussis vaccine adsorbed.","Sanofi Pasteur, Inc.","NA","1996","Approved","Gram-negative coccobacillus.","Reduces the risk of developing diphtheria and protection lasts around 10 years.","Suspension for injection","Three doses, gap of 4-8 weeks.","NA","Intramuscular","Immunization against diphtheria, tetanus and pertussis simultaneously.","Distributed by Aventis Pasteur Inc. (AvP)","US FDA","Aluminium potassium sulphate","For tetanus and acellular pertussis.","Injection site reactions, fever, irritability, drowsiness and vomiting.","NA","Combination (3 doses)","NA","NA","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=354&keywords=","NA","NA"
"1064","Vaxelis","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Inactivated","DNA","6 weeks to 4 years","Diphtheria, Tetanus Toxoids, Acellular Pertussis, Inactivated Poliovirus, Haemophilus b Conjugate and Hepatitis B Vaccine (DTaP vaccine).","Sanofi Pasteur Limited","Canada","2018","Approved","An obligate anaerobic bacillus, which is gram positive.","NA","Suspension for injection","3-doses administered at 2, 4, and 6 months of age.","Serum tetanus antitoxin level of greater than or equal to 0.1 IU/mL is protective.","Intramuscular","Prevents diphtheria, tetanus, pertussis, poliomyelitis, hepatitis B, and invasive disease due to Haemophilus influenzae type b.","Distributed by - Merck Sharp & Dohme Corp and Sanofi Pasteur Inc., USA","US FDA","Aluminium salts","Also for pertussis, diphtheria, polio, Hib (Haemophilus influenzae type b), and hepatitis B.","Irritability, crying , injection site pain, erythema and swelling, somnolence, decreased appetite, fever and vomiting.","NA","Combination (3 doses)","NA","NA","NA","https://www.fda.gov/media/119465/download","PR5I","NA"
"1065","Infanrix","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Inactivated","DNA","6 weeks to 6 years","Diphtheria, tetanus toxoids, acellular pertussis vaccine adsorbed (DTaP vaccine).","GlaxoSmithKline Biologicals and GSK Vaccines GmbH","Belgium and Germany","1997","Approved","An obligate anaerobic bacillus, which is gram positive.","Levels of tetanus antitoxin greater than or equal to 0.01 IU/mL were achieved in 100% of the sera tested.","Suspension for injection","A 0.5-mL injection as 5-doses. One dose each at 2, 4, and 6 months. One booster dose at 15 to 20 months and another booster dose at 4 to 6 years.","Serum tetanus antitoxin level of 0.1 IU/mL is protective.","Intramuscular","Prevents against diphtheria, tetanus and acellular pertussis.","Distributed by GlaxoSmithKline","US FDA","Aluminium hydroxide","Also for diphtheria and pertussis.","Pain, redness, swelling , fever, drowsiness, irritability and loss of appetite.","NA","Combination doses","NA","NA","NA","https://www.fda.gov/media/75157/download","NA","NA"
"1066","Infanrix-IPV+Hib","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Conjugate","DNA","Over 2 months","Diphtheria, tetanus, pertussis (acellular component), poliomyelitis (inactivated) and Haemophilus influenzae type b (Hib) conjugate vaccine (adsorbed).","GlaxoSmithKline Biologicals S.A","Belgium","2005","Approved","An obligate anaerobic bacillus, which is gram positive.","NA","Powder and suspension","Two or three injections, gap of 1 month.","NA","Intramuscular","Immunisation against diphtheria, tetanus, pertussis, poliomyelitis and Haemophilus influenzae type b disease.","Marketing authorisation holder - SmithKline Beecham Ltd","Member States of the EEA","Aluminium hydroxide","For Diphtheria, haemophilus influenzae type b, pertussis and poliomyelitis.","Loss of appetite, high temperature, swelling, pain and redness, feeling restless, diarrhoea, hard lump, large swelling.","NA","Combination (2 or 3 doses)","NA","NA","NCT01309646","https://www.medicines.org.uk/emc/files/pil.5301.pdf","DTPa-IPV/Hib","https://www.medicines.org.uk/emc/medicine/28678#gref"
"1067","Infanrix/Hib","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","15 months and older","DTPa/Hib vaccine.","GlaxoSmithKline","Canada","2008","Approved","An obligate anaerobic bacillus, which is gram positive.","NA","NA","Single dose of Infanrix mixed with Hiberix.","NA","Intramuscular","NA","NA","NA","Aluminium hydroxide","For acellular pertussis, diphtheria and Hib.","NA","NA","Single dose","NA","NA","NCT00696423","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=584&keywords=","NA","NA"
"1068","Infanrix-IPV","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","2 months to 6 years","DTaP-IPV vaccine.","GlaxoSmithKline","Canada","NA","Approved","An obligate anaerobic bacillus, which is gram positive.","99.5% demonstrated protective antibody titre of greater than 0.1 IU/mL against tetanus and diphtheria.","NA","Booster vaccine.","NA","Intramuscular","NA","NA","NA","Aluminium hydroxide","For diphtheria, tetanus, pertussis and polio.","Mild pain, redness, swelling, decreased appetite, vomiting, irritability, unusual crying and limb swelling.","NA","Single dose","NA","NA","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=588&keywords=","DTaP-IPV","https://www.immune.org.nz/vaccines/available-vaccines/infanrix-ipv"
"1069","Boostrix","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Inactivated","DNA","10 years and older","Tetanus (reduced), Diphtheria (reduced) and Pertussis vaccine (Tdap vaccine).","GlaxoSmithKline Biologicals and GSK Vaccines GmbH","Belgium and Germany","2005"," Approved","An obligate anaerobic bacillus, which is gram positive.","NA","Suspension for injection","0.5-mL injection. Initial Dose, 5 years after the DTaP or Td vaccine. Additional dose, 9 years after the Tdap vaccine.","Serum tetanus antitoxin level of greater than or equal to 0.1 IU/mL is protective.","Intramuscular","Not indicated in children aged younger than 10 years.","Distributed by - GlaxoSmithKline Research Triangle Park","US FDA","Aluminium hydroxide","For Diphtheria and pertussis.","Pain, redness, and swelling at the injection site, increase in arm circumference, headache, fatigue and gastrointestinal symptoms.","NA","Single dose","NA","NA","NA","https://www.fda.gov/media/124002/download","dTPa","NA"
"1070","Pentacel","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Inactivated","DNA","6 weeks to 4 years","Diphtheria, Tetanus Toxoids, Acellular Pertussis Adsorbed, Inactivated Poliovirus and Haemophilus b Conjugate (Tetanus Toxoid Conjugate) (DTaP vaccine).","Sanofi Pasteur Limited and Sanofi Pasteur SA\n","Canada and France","2008","Approved","An obligate anaerobic bacillus, which is gram positive.","Post-Dose 3 : Tetanus Antitoxoid % greater than or equal to 0.10 IU/mL - 99.7%.\nPost-Dose 4: Tetanus Antitoxoid % greater than or equal to 0.10 IU/mL - 100.0%, % greater than or equal to 1.0 IU/mL - 92.9%.","Suspension for injection as a liquid vaccine.","The four dose immunization series administered at 2, 4, 6 and 15-18 months. ","Serum tetanus antitoxin level of greater than or equal to 0.1 IU/mL is protective.","Intramuscular","The safety and effectiveness in infants less than 6 weeks and in children 5 to 16 years have not been established.","Distributed by- Sanofi Pasteur Inc. , USA","US FDA","Aluminium phosphate","For diphtheria, tetanus, poliovirus and Haemophilus b.","Fussiness, inconsolable crying, fever, tenderness and increase in arm circumference.","NA","Combination doses","NA","NA","NCT00804284","https://www.fda.gov/media/74385/download","DTaP-IPV/Hib","NA"
"1071","Daptacel","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Inactivated","DNA","6 weeks to 6 years","Diphtheria, Tetanus Toxoids and Acellular Pertussis Vaccine Adsorbed (DTaP vaccine).","Sanofi Pasteur Limited","Canada","2002","Approved","An obligate anaerobic bacillus, which is gram positive.","After the third dose, 100% achieved tetanus antitoxin levels of greater than or equal to 0.10 IU/mL. While 98.8% achieved levels of greater than or equal to 1.0 IU/mL after the fourth dose.","Suspension for injection","The five dose immunization series administered at 2, 4, 6 and 15-20 months of age, and at 4-6 years.","Serum tetanus antitoxin level of greater than or equal to 0.1 IU/mL is protective.","Intramuscular","Used to complete the immunization series in infants who have received 1 or more doses of whole-cell pertussis DTP.","Distributed by- Sanofi Pasteur Inc., USA","US FDA","Aluminium phosphate","Could be used for diphtheria and pertussis.","Fussiness, inconsolable crying, and decreased activity/lethargy, fever, tenderness, redness and increase in arm circumference.","NA","Combination doses","NA","NA","NCT00258895","https://www.fda.gov/media/74035/download","DTaP","NA"
"1072","Quadracel","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Inactivated","DNA","4 to 6 years","Diphtheria, Tetanus Toxoids, Acellular Pertussis Adsorbed and Inactivated Poliovirus Vaccine (DTaP vaccine).","Sanofi Pasteur Limited","Canada","2015","Approved","An obligate anaerobic bacillus, which is gram positive.","100% of immunized children achieved serum diphtheria and tetanus antitoxin levels of at least 0.01 IU/mL.\n99 and 100% achieved serum antitoxin levels of at least 0.1 IU/mL.\nAfter booster dose, 100% achieved serum antitoxin levels of at least 0.1 IU/mL.","Suspension for injection","Single dose (0.5 mL) vials."," Serum tetanus antitoxin level of greater than or equal to 0.1 IU/mL is protective.","Intramuscular","If Quadracel is administered to immunocompromised persons, the expected immune response may not be obtained.","Distributed by - Sanofi Pasteur Inc., USA","US FDA","Aluminium phosphate","Could be used for diphtheria, pertussis and poliovirus.","Pain, increase in arm circumference, erythema, swelling, myalgia, malaise, and headache.","NA","Single dose","NA","NA","NA","https://www.fda.gov/media/91640/download","DTaP","https://products.sanofi.ca/en/quadracel.pdf"
"1073","Adacel","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Inactivated","DNA","10 to 64 years","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis vaccine adsorbed (Tdap vaccine).","Sanofi Pasteur Limited","Canada","2005","Approved","An obligate anaerobic bacillus, which is gram positive.","Based on the immune response compared to US licensed Tetanus and Diphtheria Toxoids Adsorbed For Adult Use (Td) vaccine.","Suspension for injection","Single 0.5 mL injection. First dose and Wound Management - 5 years. A repeat vaccination - 8 years","A serum tetanus antitoxin level of at least 0.01 IU/mL, is  considered the minimum protective level.","Intramuscular","Active booster immunization against tetanus, diphtheria and pertussis.","Distributed by - Sanofi Pasteur Inc., USA","US FDA","Aluminium phosphate","Could be used for diphtheria and pertussis.","Injection site pain, swelling and erythema, myalgia, headache, malaise, body ache or muscle weakness and tiredness.","NA","Single dose","NA","NA","NA","https://www.fda.gov/media/119862/download","Tdap","https://www.rxlist.com/adacel-drug.htm#clinpharm"
"1074","Pediarix","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","6 weeks to 6 years","Diphtheria and Tetanus Toxoids and Acellular Pertussis adsorbed, Hepatitis B (Recombinant) and Inactivated Poliovirus vaccine.","GlaxoSmithKline Biologicals and GSK Vaccines GmbH","Belgium and Germany","2002","Approved","An obligate anaerobic bacillus, which is gram positive.","Based on the immunogenicity of the individual antigens compared with licensed vaccines.","Suspension for injection ","Three doses (0.5-mL each) at 2, 4, and 6 months of age."," Serum tetanus antitoxin level of greater than or equal to 0.1 IU/mL is protective.\n \n \n \n\n \n \n \n \n","Intramuscular","Active immunization against diphtheria, tetanus, pertussis, infection caused by all known subtypes of hepatitis B virus, and poliomyelitis.","Distributed by - GlaxoSmithKline","US FDA","Aluminium salts","Could be used for diphtheria and pertussis.","Pain, redness, and swelling, fever, drowsiness, irritability and loss of appetite.","NA","Combination doses","NA","NA","NA","https://www.fda.gov/media/79830/download","Diphtheria, hepatitis B, pertussis (acellular), polio, and tetanus vaccine","https://www.drugs.com/pediarix.html"
"1075","Kinrix","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","4 to 6 years","Diphtheria, tetanus toxoids, acellular pertussis adsorbed and inactivated poliovirus vaccine.","GlaxoSmithKline Biologicals and GSK Vaccines GmbH","Belgium and Germany","2008","Approved","An obligate anaerobic bacillus, which is gram positive.","Assessed by comparing antibody levels one month after vaccination with known serological correlates of protection for these diseases.","Suspension for injection","Single dose(0.5 mL)","Serum tetanus antitoxin level of greater than or equal to 0.1 IU/mL is protective.","Intramuscular","Prevents against diphtheria, tetanus, pertussis, and poliomyelitis as the fifth dose in the diphtheria, tetanus, and acellular pertussis (DTaP) vaccine series and the fourth dose in the inactivated poliovirus vaccine (IPV) series.","Distributed by GlaxoSmithKline","US FDA","Aluminium hydroxide","For diphtheria, acellular pertussis and poliovirus.","Injection site pain, redness, increase in arm circumference, swelling, drowsiness, fever and loss of appetite.","NA","Single dose","NA","18980534","NA","https://www.fda.gov/media/80128/download","DTaP-IPV","NA"
"1076","Tenivac","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Inactivated","DNA","7 years and older","Tetanus and diphtheria toxoids adsorbed (Td vaccine).","Sanofi Pasteur Limited","Canada","2003","Approved","An obligate anaerobic bacillus, which is gram positive.","NA","Suspension for injection","Primary Immunization - Three 0.5 mL doses.\nRoutine Booster - Recommended in children 11-12 years of age and every 10 years.","Serum tetanus antitoxin level of greater than or equal to 0.1 IU/mL is protective.","Intramuscular","Active immunization for the prevention of tetanus and diphtheria.","Distributed by Sanofi Pasteur Inc, USA","US FDA","Aluminium phosphate","For diphtheria also.","Pain, headache, injection site redness, injection site swelling, malaise, muscle weakness and pain in joints.","NA","Combination doses","NA","NA","NA","https://www.fda.gov/media/76610/download","Td","NA"
"1077","Decavac","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","7 years and older","Tetanus and Diphtheria Toxoids Adsorbed (Td vaccine).","Sanofi Pasteur Inc.","United States","1955","Approved","An obligate anaerobic bacillus, which is gram positive.","NA","Sterile suspension","Primary Immunization - three 0.5 mL doses.\nRoutine booster - in children 11-12 years of age and every 10 years.","Serum tetanus antitoxin level-\n0.01 IU/mL - lowest protection level.\nGreater than or equal 0.1 IU/mL - Protective","Intramuscular","Active immunization for the prevention of tetanus and diphtheria.","NA","US FDA","Alum","For diphtheria also.","Pain, headache, injection site swelling and erythema, muscle weakness, tiredness, diarrhoea,  chills, nausea, sore and swollen joints.","NA","Combination doses","NA","NA","NA","https://www.vaccineshoppe.com/assets/pdf/decavac.pdf","Td","NA"
"1078","Tdvax","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Toxoid","DNA","7 years and older","Tetanus and Diphtheria Toxoids Adsorbed (Td vaccine).","MassBiologics","United States","2018","Approved","An obligate anaerobic bacillus, which is gram positive.","70% had antitoxin concentrations of 0.01 or greater after 2 doses of Tdvax in primary series. In booster doses, achieved antitoxin levels greater than 0.01 units/mL.","Sterile vaccine","Primary Immunization -  Three 0.5 mL doses.\nRoutine Booster - in children 11-12 years of age and every 10 years.","Serum diphtheria antitoxin level of 0.01 IU/mL is minimum protection level.","Intramuscular","Active immunization for the prevention of tetanus and diphtheria.","Distributed by Grifols USA","US FDA","Aluminium adjuvant","For diphtheria also.","Pain, tenderness, erythema, induration, pruritis, swelling, peripheral oedema, pyrexia, malaise, dizziness, headache, convulsions, myalgia, musculoskeletal stiffness , arthralgia, rash, nausea and Cellulitis.","NA","Combination doses","NA","NA","NA","https://www.fda.gov/media/76430/download","Td","NA"
"1079","DT Generic","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Inactivated","DNA","6 weeks to 6 years","Diphtheria and tetanus toxoids adsorbed (DT vaccine).","Sanofi Pasteur Limited","Canada","1997","Approved","An obligate anaerobic bacillus, which is gram positive.","NA","Suspension for injection","Five doses at 2, 4, 6, 15-18 months and between 4 and 6 years.","Serum diphtheria antitoxin level of 0.01 IU/mL is minimum protection level.","Intramuscular","Active immunization against diphtheria and tetanus.","Distributed by Sanofi Pasteur Inc, USA","US FDA","NA","For diphtheria also.","Crying, fever, and loss of appetite.","NA","Combination doses","NA","NA","NA","https://www.fda.gov/media/119411/download","Diphtheria and tetanus toxoids adsorbed","NA"
"1080","DT Polio Adsorbed","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","7 years and older","Diphtheria, tetanus and inactivated poliovirus vaccine.","Sanofi Pasteur Ltd","Canada","NA","Approved","An obligate anaerobic bacillus, which is gram positive.","100% seroprotection rate.","Suspension for injection","Given as a second booster.","Threshold of 1.0 IU/mL.","Intramuscular","NA","NA","NA","Aluminium phosphate","For diphtheria and inactivated poliovirus.","Erythema, pain and swelling.","NA","Single dose","NA","21441781","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=563&keywords=","DT-IPV","NA"
"1081","Pentaxim","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","From 2 months","Adsorbed diphtheria, tetanus, pertussis (acellular component), inactivated poliomyelitis and Haemophilus influenzae type b conjugate vaccine.","Sanofi Pasteur Ltd","Thailand","1997","Approved","An obligate anaerobic bacillus, which is gram positive.","92.2–100% of infants achieved seroprotective levels of anti-tetanus (greater than or equal to 0.01 IU/ml).","Powder and suspension","Two injections at 2 and 4 months of age and a booster at the age of 11 months OR three injections, gap of 1 to 2 months and booster within the second year of life.","NA","Intramuscular","Immunization against diphtheria, tetanus, acellular pertussis, inactivated poliomyelitis and Hib.","Marketing Authorisation Holder: Sanofi Pasteur SA, France","European Union Pharmacopoeia","Aluminium hydroxide ","For diphtheria, tetanus, acellular pertussis, inactivated poliomyelitis and Hib.","Injection site redness, swelling, pain, fever, vomiting, irritability, abnormal crying, nervousness, loss of appetite, somnolence.","NA","Combination doses","NA","21749196","NA","https://www.fda.moph.go.th/sites/drug/Shared%20Documents/Vaccine/U1DR2C1062470002211C-SPC.pdf","DTaP-IPV//PRP-T, Pentavac (in Western Europe)","NA"
"1082","Infanrix hexa","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Conjugate","DNA","Babies and toddlers","Diphtheria, tetanus, pertussis (acellular, component), hepatitis B, poliomyelitis (inactivated) and Haemophilus influenzae type b (Hib) conjugate vaccine (adsorbed).","GlaxoSmithKline Biologicals","Belgium","2000","Approved","An obligate anaerobic bacillus, which is gram positive.","Between 95 and 100%.","Powder and suspension","Two or three injections with at least 2 or 1 month gap.","Make antibodies.","Intramuscular","6-in-1 vaccine.","Marketing Authorisation Holder- GlaxoSmithKline UK Limited","European Medicines Agency","NA","For Diphtheria, pertussis, hepatitis B, poliomyelitis and Haemophilus influenza type b.","Sleepiness, loss of appetite, high temperature, swelling, pain, redness, unusual crying, feeling irritable, diarrhoea, vomiting, feeling nervous.","NA","Combination doses","NA","NA","NCT01353703","https://www.medicines.org.uk/emc/files/pil.2586.pdf","DTPa-HBV-IPV/Hib","https://www.drugs.com/uk/infanrix-hexa.html"
"1083","Hexaxim","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","From 6 weeks","DTaP-HepB-IPV-Hib fully liquid hexavalent vaccine.","Sanofi Pasteur","France","2012","Approved","An obligate anaerobic bacillus, which is gram positive.","93 and 100% of the children had protective antibodies levels.","Whitish, cloudy suspension","Primary vaccination: Three doses of 0.5 ml and booster dose during the second year.","Make antibodies and the active substances are fixed onto aluminium compounds.","Intramuscular","Primary and booster vaccination against diphtheria, tetanus, pertussis, hepatitis B, poliomyelitis and invasive infections caused by Haemophilus influenzae type b.","NA","WHO","Aluminium hydroxide","For diphtheria, Hib, pertussis, hepatitis B, poliomyelitis.","Pain and redness at the injection site, irritability and crying.","NA","Combination doses","NA","NA","NCT02428491","https://www.who.int/immunization_standards/vaccine_quality/pq_284_Hexaxim_1dose_SP_Hexaxim_VPSAR.pdf","Hexyon and Hexacima","https://www.ema.europa.eu/en/documents/outside-eu-summary/hexaxim-medicine-overview_en.pdf"
"1084","Shan-5","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","From 6 weeks","Diphtheria, Tetanus, Pertussis (Whole Cell), Hepatitis B (rDNA) and Haemophilus influenzae type b conjugate vaccine.","Sanofi Healthcare India Private Limited","India","2014","Approved","An obligate anaerobic bacillus, which is gram positive.","Seroprotection rate for tetanus(100%).","White suspension","Three doses of 0.5 ml, at least 4 weeks gap.","Boosts the immune system and produces protective antibodies.","Intramuscular","Immunization against diphtheria, tetanus, pertussis, hepatitis B and haemophilus influenzae type b in infants.","Marketed by : Sanofi Healthcare India Private Limited","Central Drugs Standard Control Organization, India and WHO pre-qualified.","Aluminium phosphate","For diphtheria, Hib, pertussis and hepatitis B.","Pain, redness and swelling at injection site, fever, vomiting, crying, drowsiness, loss of appetite and irritability.","Vaccinee to be medically supervised for at least 30 minutes after vaccination.","Combination doses","NA","NA","NA","https://extranet.who.int/pqweb/content/shan-5-0","NA","https://www.1mg.com/drugs/shan-5-vaccine-264976"
